hour,price,hour,value,gasUsed
2023-04-16 05:00:00.000 UTC,2101.25,2023-04-16 05:00:00.000 UTC,11240.717985714906,1.182811063e+09
2023-02-27 00:00:00.000 UTC,1641.91,2023-02-27 00:00:00.000 UTC,3828.04358715769,2.095936758e+09
2023-04-21 22:00:00.000 UTC,1848.36,2023-04-21 22:00:00.000 UTC,4650.618537645028,1.406930089e+09
2023-01-13 02:00:00.000 UTC,1407.96,2023-01-13 02:00:00.000 UTC,3883.551723126994,1.488723685e+09
2023-07-25 23:00:00.000 UTC,1861.62,2023-07-25 23:00:00.000 UTC,1522.384678089223,1.617771765e+09
2023-04-23 01:00:00.000 UTC,1864.22,2023-04-23 01:00:00.000 UTC,8083.248755923702,1.66341827e+09
2023-08-25 15:00:00.000 UTC,1653.06,2023-08-25 15:00:00.000 UTC,5739.350565071668,1.564010556e+09
2023-02-15 14:00:00.000 UTC,1585.26,2023-02-15 14:00:00.000 UTC,6755.954169321809,1.45615238e+09
2023-03-14 19:00:00.000 UTC,1737.27,2023-03-14 19:00:00.000 UTC,13638.74861454079,1.452440065e+09
2023-02-24 09:00:00.000 UTC,1654.33,2023-02-24 09:00:00.000 UTC,5727.088820330206,1.61202088e+09
2023-06-12 11:00:00.000 UTC,1751.36,2023-06-12 11:00:00.000 UTC,4768.098450080218,1.394474397e+09
2023-06-24 09:00:00.000 UTC,1889.9,2023-06-24 09:00:00.000 UTC,3090.053183927781,1.303909747e+09
2023-01-08 14:00:00.000 UTC,1266.04,2023-01-08 14:00:00.000 UTC,1824.8544572761473,1.92107138e+09
2023-03-19 06:00:00.000 UTC,1782.13,2023-03-19 06:00:00.000 UTC,3416.679784785706,1.244090724e+09
2023-02-26 13:00:00.000 UTC,1600.67,2023-02-26 13:00:00.000 UTC,2122.7610760430493,2.004494458e+09
2023-03-03 21:00:00.000 UTC,1562.01,2023-03-03 21:00:00.000 UTC,5644.349359656379,1.646518787e+09
2023-06-14 19:00:00.000 UTC,1740.31,2023-06-14 19:00:00.000 UTC,9050.367613431456,1.726046659e+09
2023-06-02 21:00:00.000 UTC,1907.33,2023-06-02 21:00:00.000 UTC,3211.1808540505103,1.34953675e+09
2023-03-20 08:00:00.000 UTC,1799.88,2023-03-20 08:00:00.000 UTC,6287.267598594628,1.523491172e+09
2023-03-10 19:00:00.000 UTC,1421.58,2023-03-10 19:00:00.000 UTC,5948.865180246283,1.283795365e+09
2023-06-25 08:00:00.000 UTC,1920.36,2023-06-25 08:00:00.000 UTC,4297.383745319912,1.461986379e+09
2023-08-12 15:00:00.000 UTC,1853.86,2023-08-12 15:00:00.000 UTC,2192.405975226654,1.722231903e+09
2023-08-27 17:00:00.000 UTC,1658,2023-08-27 17:00:00.000 UTC,2099.446799661582,1.574953774e+09
2023-09-15 02:00:00.000 UTC,1636.04,2023-09-15 02:00:00.000 UTC,3951.892879372866,1.651077101e+09
2023-01-06 14:00:00.000 UTC,1251.01,2023-01-06 14:00:00.000 UTC,5198.346648828884,2.117445589e+09
2023-08-25 21:00:00.000 UTC,1650.91,2023-08-25 21:00:00.000 UTC,2811.4199665571377,1.734922901e+09
2023-07-25 11:00:00.000 UTC,1855.73,2023-07-25 11:00:00.000 UTC,11572.001709327174,1.51921728e+09
2023-06-29 13:00:00.000 UTC,1876.83,2023-06-29 13:00:00.000 UTC,4689.54014012144,1.670973753e+09
2023-04-17 17:00:00.000 UTC,2085.52,2023-04-17 17:00:00.000 UTC,5351.836546605469,1.588254312e+09
2023-01-03 11:00:00.000 UTC,1218.2,2023-01-03 11:00:00.000 UTC,1993.5206445175902,1.085992913e+09
2023-04-21 06:00:00.000 UTC,1934.51,2023-04-21 06:00:00.000 UTC,11547.00880941619,1.530610547e+09
2023-01-28 15:00:00.000 UTC,1581.57,2023-01-28 15:00:00.000 UTC,2604.206906100966,1.43538571e+09
2023-06-05 12:00:00.000 UTC,1871.96,2023-06-05 12:00:00.000 UTC,4686.0238957663505,1.576287798e+09
2023-01-24 22:00:00.000 UTC,1600.41,2023-01-24 22:00:00.000 UTC,15513.337087164495,1.426292739e+09
2023-04-21 12:00:00.000 UTC,1917.28,2023-04-21 12:00:00.000 UTC,12804.824832641058,1.303900482e+09
2023-06-11 00:00:00.000 UTC,1754.69,2023-06-11 00:00:00.000 UTC,1902.2536358317266,1.161906234e+09
2023-08-31 11:00:00.000 UTC,1718.31,2023-08-31 11:00:00.000 UTC,3279.0031071443736,1.679995294e+09
2023-07-06 01:00:00.000 UTC,1906.65,2023-07-06 01:00:00.000 UTC,2622.160452407399,1.078108692e+09
2023-07-07 04:00:00.000 UTC,1859.19,2023-07-07 04:00:00.000 UTC,2702.508310191556,1.69678862e+09
2023-08-04 15:00:00.000 UTC,1847.99,2023-08-04 15:00:00.000 UTC,8279.68636083164,1.59952951e+09
2023-04-25 04:00:00.000 UTC,1836.45,2023-04-25 04:00:00.000 UTC,11590.553853782132,1.407610162e+09
